Annual_Income,Spending_Score,Age
84.0,78.9,33.2
92.2,78.1,28.8
92.6,86.1,27.7
84.3,76.3,27.7
81.9,64.7,21.4
75.5,71.9,31.6
72.7,68.7,37.3
78.2,80.5,22.9
75.6,80.9,24.2
83.0,75.2,28.5
75.2,94.8,29.9
71.5,86.6,23.9
81.7,64.3,23.4
81.6,85.9,30.9
79.1,77.6,22.6
74.2,76.3,35.3
82.7,65.9,31.6
76.9,74.6,33.1
88.2,87.5,25.8
77.5,82.7,34.9
76.2,78.5,24.5
70.4,86.5,36.8
79.4,88.0,31.8
74.8,82.9,37.7
79.7,92.5,16.9
86.6,80.7,28.5
80.7,64.1,28.9
82.9,91.8,27.4
73.5,76.0,34.6
82.6,75.8,32.6
80.8,87.7,26.5
77.4,76.9,22.7
82.4,82.1,30.0
78.1,68.7,27.9
77.3,73.6,29.2
83.2,95.1,30.9
82.1,79.4,20.4
79.8,80.5,42.3
78.5,82.4,29.8
70.7,89.1,33.8
86.3,72.7,37.0
68.8,84.7,41.0
72.1,75.5,30.5
76.0,67.6,30.3
71.5,83.8,25.4
92.4,73.7,28.4
86.5,70.2,31.1
90.5,67.1,30.9
82.1,86.3,23.8
69.4,84.2,31.5
82.0,82.8,26.6
81.9,82.3,26.4
94.9,83.8,24.0
85.3,72.2,33.9
89.3,73.4,34.8
83.3,86.6,39.5
78.0,74.0,25.6
73.5,79.4,31.7
82.2,86.6,30.1
91.6,77.9,43.6
85.0,73.1,24.6
83.9,78.2,33.6
83.8,79.4,25.8
67.9,76.4,34.3
81.7,70.0,30.9
83.1,72.9,30.8
80.5,70.9,31.8
84.5,88.7,35.3
69.0,72.5,32.6
84.1,84.1,49.3
84.6,89.1,34.8
85.2,77.5,33.8
73.8,78.1,27.6
80.7,98.5,20.7
85.5,67.1,27.6
88.7,80.5,24.6
74.3,85.4,26.3
81.7,80.4,26.7
97.2,85.1,19.9
81.5,74.7,34.3
73.7,79.1,32.5
86.9,70.4,28.3
76.2,74.8,38.8
83.2,69.9,34.6
97.0,88.3,22.4
76.1,90.1,26.5
83.6,86.2,25.4
79.5,54.1,24.9
78.0,70.0,38.2
68.6,76.5,30.7
91.5,68.5,35.8
80.1,72.1,32.3
81.6,75.2,30.3
76.9,80.9,33.3
92.7,70.1,40.7
64.4,78.8,32.9
82.2,75.0,29.0
76.1,75.3,34.2
82.9,74.5,34.5
82.5,86.5,33.1
73.4,75.5,33.7
84.9,79.8,30.6
90.2,75.3,32.7
78.4,78.3,35.5
86.6,86.5,36.5
80.2,85.5,28.4
82.6,79.0,30.5
84.8,73.5,40.5
72.0,70.3,35.8
86.3,85.0,33.1
79.9,72.8,30.4
74.6,87.8,29.3
73.4,77.4,32.1
75.5,73.4,31.2
82.0,75.9,27.6
81.9,68.4,23.0
74.3,78.3,31.6
91.8,86.9,29.2
79.8,72.0,29.9
77.7,82.6,25.9
84.2,92.3,29.5
83.2,85.5,28.0
81.8,80.1,30.5
73.8,80.2,32.5
91.6,87.7,40.8
73.9,87.0,30.9
97.5,73.5,25.8
75.2,63.0,27.4
73.9,81.2,31.7
95.0,87.6,27.1
72.8,83.9,23.4
94.7,89.4,27.7
66.3,90.8,29.4
89.9,67.2,27.0
80.0,80.4,27.7
85.0,71.5,29.3
81.0,84.1,33.6
71.0,67.7,36.4
82.7,74.0,37.8
80.9,89.4,30.3
96.5,94.0,28.8
87.8,85.2,36.8
72.3,85.5,35.3
65.9,70.5,19.8
77.8,85.7,37.5
80.6,93.0,23.1
66.4,79.6,31.9
79.7,63.5,29.6
